Date,SPY,GOOG,AMZN,JPM,GME,XOM
2020-01-02,303.135559,68.290787,94.900497,122.85289,1.5775,56.539871
2020-01-03,300.840179,67.955666,93.748497,121.231644,1.47,56.085304
2020-01-06,301.987946,69.631264,95.143997,121.135254,1.4625,56.515934
2020-01-07,301.138763,69.587814,95.343002,119.075867,1.38,56.053417
2020-01-08,302.743713,70.136192,94.598503,120.004799,1.43,55.208107
2020-01-09,304.796509,70.910805,95.052498,120.442978,1.3875,55.630756
2020-01-10,303.919342,71.405251,94.157997,119.242386,1.3575,55.136333
2020-01-13,306.009521,71.879707,94.565002,120.232651,1.3575,55.662655
2020-01-14,305.542999,71.462677,93.472,121.634758,1.1775,55.184185
2020-01-15,306.233582,71.878204,93.100998,119.812012,1.1525,55.096462
2020-01-16,308.780853,72.502495,93.897003,120.276459,1.155,54.881149
2020-01-17,309.741943,73.935364,93.236,121.108955,1.1875,54.673805
2020-01-21,309.135437,74.135635,94.599998,119.917168,1.1475,53.892292
2020-01-22,309.172668,74.213051,94.373001,119.776909,1.14,53.581287
2020-01-23,309.527313,74.248009,94.228996,119.654266,1.155,53.246346
2020-01-24,306.774597,73.252144,93.082001,116.683495,1.08,52.887497
2020-01-27,301.857269,71.61351,91.417,115.702003,1.07,51.627514
2020-01-28,305.020477,72.545448,92.662498,117.805191,1.0525,51.555733
2020-01-29,304.768494,72.848602,92.900002,117.629929,1.0325,51.125114
2020-01-30,305.757538,72.709259,93.533997,119.084633,0.9825,51.667385
2020-01-31,300.205688,71.62999,100.435997,115.991211,0.96,49.538162
2020-02-03,302.435822,74.212547,100.209999,116.876289,0.9875,48.429695
2020-02-04,307.045258,72.271255,102.483498,118.558815,1.0175,47.823631
2020-02-05,310.591064,72.329193,101.9935,120.574409,1.045,50.02462
2020-02-06,311.636108,73.7276,102.511497,120.591942,1.035,49.346779
2020-02-07,309.975189,73.877434,103.963997,120.206345,0.9525,49.019817
2020-02-10,312.289307,75.348259,106.695503,120.705856,0.985,48.502117
2020-02-11,312.830505,75.353752,107.540001,120.933731,1.005,48.963188
2020-02-12,314.845978,75.827209,108.0,120.933731,1.0475,49.56179
2020-02-13,314.510101,75.646919,107.4935,120.828545,1.0275,49.286762
2020-02-14,315.013947,75.950577,106.7435,120.460495,1.005,49.060265
2020-02-18,314.202148,75.897133,107.783501,118.86557,1.015,48.437405
2020-02-19,315.704437,76.247734,108.511002,120.486794,1.0375,48.809505
2020-02-20,314.407471,75.82122,107.654999,120.486794,1.035,48.42123
2020-02-21,311.169525,74.171097,104.7985,119.014534,1.01,47.830727
2020-02-24,300.849487,70.998703,100.4645,115.815941,0.925,45.590046
2020-02-25,291.733154,69.34359,98.637001,110.645576,0.89,43.842812
2020-02-26,290.660034,69.579819,98.9795,110.9786,0.8475,42.880207
2020-02-27,277.606049,65.82959,94.214996,106.360313,0.8675,40.299793
2020-02-28,276.439636,66.890381,94.1875,101.750809,0.9,41.610222
2020-03-02,288.411316,69.376549,97.697502,106.49176,0.9575,43.583954
2020-03-03,280.153442,66.993271,95.449501,102.495697,0.9075,41.496967
2020-03-04,291.929016,69.2472,98.791496,105.02829,0.9425,42.402946
2020-03-05,282.224854,65.877037,96.2015,99.875473,0.99,40.534374
2020-03-06,277.559357,64.84671,95.054497,94.713875,0.98,38.576813
2020-03-09,255.883514,60.708916,90.030502,81.884392,0.925,33.860889
2020-03-10,269.124176,63.946732,94.591003,88.246552,1.0575,35.114689
2020-03-11,256.004791,60.701424,91.042999,84.092735,1.035,33.957954
2020-03-12,231.510986,55.682137,83.830498,77.160973,0.995,30.075197
2020-03-13,251.302017,60.917179,89.25,91.059578,1.1475,30.835573
2020-03-16,223.803604,54.154873,84.457497,77.43264,1.0925,27.899233
2020-03-17,235.887207,55.926361,90.391998,82.164803,1.0575,29.775906
2020-03-18,223.943558,54.777664,91.5,73.515411,0.9425,26.791027
2020-03-19,224.419403,55.701115,94.046501,74.751053,1.0475,27.8507
2020-03-20,214.74823,53.555058,92.304497,73.173653,0.94,26.483644
2020-03-23,209.257538,52.77095,95.141502,69.256454,0.9525,25.440157
2020-03-24,228.216934,56.658524,97.004997,77.493958,1.04,28.6677
2020-03-25,231.633392,55.061844,94.292,80.385872,1.0425,30.164175
2020-03-26,245.158432,58.021477,97.774498,85.985626,1.1025,31.401808
2020-03-27,237.856201,55.472374,95.004997,79.860062,1.055,29.889153
2020-03-30,245.58078,57.275822,98.197502,81.936958,0.9125,30.334044
2020-03-31,241.920288,58.074413,97.486,78.896111,0.875,30.714231
2020-04-01,231.032669,55.218163,95.385002,73.927307,0.8125,30.358313
2020-04-02,236.363876,55.978298,95.941498,76.687752,0.7125,32.679886
2020-04-03,232.947418,54.831604,95.329498,74.421028,0.7,31.717278
2020-04-06,248.593613,59.278545,99.879501,79.211243,0.7725,32.7365
2020-04-07,248.847061,59.258068,100.580002,80.256035,0.8175,33.359364
2020-04-08,257.200439,60.445217,102.150002,83.49675,0.8525,35.470612
2020-04-09,261.11438,60.503647,102.138,90.987572,0.9725,34.888199
2020-04-13,258.730316,60.8088,108.443497,86.941124,1.185,34.588898
2020-04-14,266.361084,63.389362,114.166,84.559273,1.4875,34.32196
2020-04-15,260.701324,63.05175,115.384003,80.388855,1.3175,32.744591
2020-04-16,261.959015,63.101692,120.4095,77.325272,1.2575,31.668739
